         x         y         z          analitic          solution          pogreshn
      -250       400     -1000                 0                 0                 0
      -100       400     -1000                 0                 0                 0
         0       400     -1000                 0                 0                 0
        25       400     -1000                 0                 0                 0
      52.5       400     -1000                 0                 0                 0
     82.75       400     -1000                 0                 0                 0
   116.025       400     -1000                 0                 0                 0
   152.627       400     -1000                 0                 0                 0
    192.89       400     -1000                 0                 0                 0
   237.179       400     -1000                 0                 0                 0
   285.897       400     -1000                 0                 0                 0
   339.487       400     -1000                 0                 0                 0
       400       400     -1000                 0                 0                 0
       420       400     -1000                 0                 0                 0
       440       400     -1000                 0                 0                 0
       460       400     -1000                 0                 0                 0
       480       400     -1000                 0                 0                 0
       500       400     -1000                 0                 0                 0
       525       400     -1000                 0                 0                 0
     562.5       400     -1000                 0                 0                 0
    618.75       400     -1000                 0                 0                 0
   703.125       400     -1000                 0                 0                 0
   829.688       400     -1000                 0                 0                 0
      1000       400     -1000                 0                 0                 0
     -1000       420     -1000                 0                 0                 0
    -812.5       420     -1000                 0                 0                 0
      -475       420     -1000                 0                 0                 0
      -250       420     -1000                 0                 0                 0
      -100       420     -1000                 0                 0                 0
         0       420     -1000                 0                 0                 0
        25       420     -1000                 0                 0                 0
      52.5       420     -1000                 0                 0                 0
     82.75       420     -1000                 0                 0                 0
   116.025       420     -1000                 0                 0                 0
   152.627       420     -1000                 0                 0                 0
    192.89       420     -1000                 0                 0                 0
   237.179       420     -1000                 0                 0                 0
   285.897       420     -1000                 0                 0                 0
   339.487       420     -1000                 0                 0                 0
       400       420     -1000                 0                 0                 0
       420       420     -1000                 0                 0                 0
       440       420     -1000                 0                 0                 0
       460       420     -1000                 0                 0                 0
       480       420     -1000                 0                 0                 0
       500       420     -1000                 0                 0                 0
       525       420     -1000                 0                 0                 0
     562.5       420     -1000                 0                 0                 0
    618.75       420     -1000                 0                 0                 0
   703.125       420     -1000                 0                 0                 0
   829.688       420     -1000                 0                 0                 0
      1000       420     -1000                 0                 0                 0
     -1000       440     -1000                 0                 0                 0
    -812.5       440     -1000                 0                 0                 0
      -475       440     -1000                 0                 0                 0
      -250       440     -1000                 0                 0                 0
      -100       440     -1000                 0                 0                 0
         0       440     -1000                 0                 0                 0
        25       440     -1000                 0                 0                 0
      52.5       440     -1000                 0                 0                 0
     82.75       440     -1000                 0                 0                 0
   116.025       440     -1000                 0                 0                 0
   152.627       440     -1000                 0                 0                 0
    192.89       440     -1000                 0                 0                 0
   237.179       440     -1000                 0                 0                 0
   285.897       440     -1000                 0                 0                 0
   339.487       440     -1000                 0                 0                 0
       400       440     -1000                 0                 0                 0
       420       440     -1000                 0                 0                 0
       440       440     -1000                 0                 0                 0
       460       440     -1000                 0                 0                 0
       480       440     -1000                 0                 0                 0
       500       440     -1000                 0                 0                 0
       525       440     -1000                 0                 0                 0
     562.5       440     -1000                 0                 0                 0
    618.75       440     -1000                 0                 0                 0
   703.125       440     -1000                 0                 0                 0
   829.688       440     -1000                 0                 0                 0
      1000       440     -1000                 0                 0                 0
     -1000       460     -1000                 0                 0                 0
