SourceType=1, point({ r = 0; z = 0},i=1716, power=1
Added power 0.159155
         r         z   correctSolution                 q              diff
   20.4312  -41.8748                 0         0.0195971         0.0195971
   23.9743  -41.8748                 0         0.0184408         0.0184408
   27.8718  -41.8748                 0         0.0171151         0.0171151
    32.159  -41.8748                 0         0.0156379         0.0156379
   36.8748  -41.8748                 0         0.0140365         0.0140365
   42.0623  -41.8748                 0         0.0123448         0.0123448
   47.7686  -41.8748                 0         0.0105993         0.0105993
   54.0454  -41.8748                 0        0.00883599        0.00883599
     60.95  -41.8748                 0        0.00708573        0.00708573
    68.545  -41.8748                 0         0.0053722         0.0053722
   76.8995  -41.8748                 0         0.0037097         0.0037097
   86.0894  -41.8748                 0        0.00210211        0.00210211
   96.1983  -41.8748                 0       0.000542314       0.000542314
       100  -41.8748                 0                 0                 0
         0   -37.159                 0         0.0281699         0.0281699
       0.1   -37.159                 0         0.0281697         0.0281697
      0.21   -37.159                 0         0.0281692         0.0281692
     0.331   -37.159                 0         0.0281682         0.0281682
    0.4641   -37.159                 0         0.0281665         0.0281665
   0.61051   -37.159                 0         0.0281641         0.0281641
  0.771561   -37.159                 0         0.0281607         0.0281607
  0.948717   -37.159                 0         0.0281561         0.0281561
   1.14359   -37.159                 0         0.0281499         0.0281499
   1.35795   -37.159                 0         0.0281418         0.0281418
   1.59374   -37.159                 0         0.0281312         0.0281312
   1.85312   -37.159                 0         0.0281177         0.0281177
   2.13843   -37.159                 0         0.0281005         0.0281005
   2.45227   -37.159                 0         0.0280787         0.0280787
    2.7975   -37.159                 0         0.0280514         0.0280514
   3.17725   -37.159                 0         0.0280172         0.0280172
   3.59497   -37.159                 0         0.0279748         0.0279748
   4.05447   -37.159                 0         0.0279222         0.0279222
   4.55992   -37.159                 0         0.0278574         0.0278574
         5   -37.159                 0          0.027795          0.027795
         7   -37.159                 0         0.0274418         0.0274418
       9.2   -37.159                 0         0.0269347         0.0269347
     11.62   -37.159                 0         0.0262488         0.0262488
    14.282   -37.159                 0         0.0253633         0.0253633
   17.2102   -37.159                 0          0.024264          0.024264
   20.4312   -37.159                 0         0.0229472         0.0229472
   23.9743   -37.159                 0         0.0214215         0.0214215
   27.8718   -37.159                 0         0.0197092         0.0197092
    32.159   -37.159                 0         0.0178444         0.0178444
   36.8748   -37.159                 0         0.0158699         0.0158699
   42.0623   -37.159                 0         0.0138321         0.0138321
   47.7686   -37.159                 0         0.0117765         0.0117765
   54.0454   -37.159                 0        0.00974234        0.00974234
     60.95   -37.159                 0        0.00776051        0.00776051
    68.545   -37.159                 0        0.00585112        0.00585112
   76.8995   -37.159                 0        0.00402287        0.00402287
   86.0894   -37.159                 0        0.00227269        0.00227269
   96.1983   -37.159                 0       0.000585438       0.000585438
       100   -37.159                 0                 0                 0
         0  -32.8718                 0         0.0337186         0.0337186
       0.1  -32.8718                 0         0.0337183         0.0337183
      0.21  -32.8718                 0         0.0337175         0.0337175
     0.331  -32.8718                 0          0.033716          0.033716
    0.4641  -32.8718                 0         0.0337137         0.0337137
   0.61051  -32.8718                 0         0.0337102         0.0337102
  0.771561  -32.8718                 0         0.0337053         0.0337053
  0.948717  -32.8718                 0         0.0336986         0.0336986
   1.14359  -32.8718                 0         0.0336897         0.0336897
   1.35795  -32.8718                 0         0.0336779         0.0336779
   1.59374  -32.8718                 0         0.0336627         0.0336627
