TITLE = "Slice Z = -450"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 150, J= 1, F=POINT
v1;v2;u0;u_correct
4.95302013422818845e+02;0.00000000000000000e+00;5.17554954166066068e+01;5.17554954166066068e+01
4.99328859060402749e+02;0.00000000000000000e+00;5.14946817803519110e+01;5.14946817803519110e+01
5.03355704697986653e+02;0.00000000000000000e+00;5.12219485318105399e+01;5.12219485318105399e+01
5.07382550335570500e+02;0.00000000000000000e+00;5.09468313608118493e+01;5.09468313608118493e+01
5.11409395973154403e+02;0.00000000000000000e+00;5.06717141898131445e+01;5.06717141898131445e+01
5.15436241610738307e+02;0.00000000000000000e+00;5.03965970188144325e+01;5.03965970188144325e+01
5.19463087248322154e+02;0.00000000000000000e+00;5.01214798478157348e+01;5.01214798478157348e+01
5.23489932885906114e+02;0.00000000000000000e+00;4.98463626768170371e+01;4.98463626768170371e+01
5.27516778523489961e+02;0.00000000000000000e+00;4.95586270160044506e+01;4.95586270160044506e+01
5.31543624161073922e+02;0.00000000000000000e+00;4.92633202613035337e+01;4.92633202613035337e+01
5.35570469798657768e+02;0.00000000000000000e+00;4.89680135066026310e+01;4.89680135066026310e+01
5.39597315436241615e+02;0.00000000000000000e+00;4.86727067519017282e+01;4.86727067519017282e+01
5.43624161073825576e+02;0.00000000000000000e+00;4.83773999972008042e+01;4.83773999972008042e+01
5.47651006711409423e+02;0.00000000000000000e+00;4.80820932424999015e+01;4.80820932424999015e+01
5.51677852348993383e+02;0.00000000000000000e+00;4.77867864877989845e+01;4.77867864877989845e+01
5.55704697986577230e+02;0.00000000000000000e+00;4.74914797330980747e+01;4.74914797330980747e+01
5.59731543624161077e+02;0.00000000000000000e+00;4.71961729783971720e+01;4.71961729783971720e+01
5.63758389261745037e+02;0.00000000000000000e+00;4.68912498589221372e+01;4.68912498589221372e+01
5.67785234899328884e+02;0.00000000000000000e+00;4.65651707369440473e+01;4.65651707369440473e+01
5.71812080536912845e+02;0.00000000000000000e+00;4.62390916149659432e+01;4.62390916149659432e+01
5.75838926174496692e+02;0.00000000000000000e+00;4.59130124929878605e+01;4.59130124929878605e+01
5.79865771812080538e+02;0.00000000000000000e+00;4.55869333710097706e+01;4.55869333710097706e+01
5.83892617449664499e+02;0.00000000000000000e+00;4.52608542490316736e+01;4.52608542490316736e+01
5.87919463087248346e+02;0.00000000000000000e+00;4.49347751270535909e+01;4.49347751270535909e+01
5.91946308724832306e+02;0.00000000000000000e+00;4.46086960050754939e+01;4.46086960050754939e+01
5.95973154362416153e+02;0.00000000000000000e+00;4.42826168830974041e+01;4.42826168830974041e+01
6.00000000000000114e+02;0.00000000000000000e+00;4.39565377611193071e+01;4.39565377611193071e+01

