         x         y         z          analitic          solution          pogreshn
   7.20351        -2         0                 0           6.11514           6.11514
        10        -2         0                 0                 0                 0
       -10         0         0                 0                 0                 0
  -7.20351         0         0                 0          -6.68517          -6.68517
  -4.84966         0         0                 0          -3.80889          -3.80889
  -2.07989         0         0                 0          -1.11114          -1.11114
         0         0         0                 0          0.996924          0.996924
   2.07989         0         0                 0           3.11392           3.11392
   4.84966         0         0                 0           5.80241           5.80241
   7.20351         0         0                 0           8.79263           8.79263
        10         0         0                 0                 0                 0
       -10         2         0                 0                 0                 0
  -7.20351         2         0                 0          -4.15617          -4.15617
  -4.84966         2         0                 0          -1.93362          -1.93362
  -2.07989         2         0                 0          0.884724          0.884724
         0         2         0                 0           2.94819           2.94819
   2.07989         2         0                 0           4.94857           4.94857
   4.84966         2         0                 0           7.86183           7.86183
   7.20351         2         0                 0           9.53564           9.53564
        10         2         0                 0                 0                 0
       -10         5         0                 0                 0                 0
  -7.20351         5         0                 0          -3.21177          -3.21177
  -4.84966         5         0                 0           1.90061           1.90061
  -2.07989         5         0                 0           4.64087           4.64087
         0         5         0                 0           6.91469           6.91469
   2.07989         5         0                 0           9.25188           9.25188
   4.84966         5         0                 0           11.7655           11.7655
   7.20351         5         0                 0            21.268            21.268
        10         5         0                 0                 0                 0
       -10       9.5         0                 0                 0                 0
  -7.20351       9.5         0                 0           1.02255           1.02255
  -4.84966       9.5         0                 0           2.57897           2.57897
  -2.07989       9.5         0                 0           3.95513           3.95513
         0       9.5         0                 0           5.00391           5.00391
   2.07989       9.5         0                 0           6.09955           6.09955
   4.84966       9.5         0                 0           6.68286           6.68286
   7.20351       9.5         0                 0           13.3589           13.3589
        10       9.5         0                 0                 0                 0
       -10        10         0                 0                 0                 0
  -8.74421        10         0                 0                 0                 0
  -7.20351        10         0                 0                 0                 0
  -5.91959        10         0                 0                 0                 0
  -4.84966        10         0                 0                 0                 0
  -3.95805        10         0                 0                 0                 0
  -3.21504        10         0                 0                 0                 0
  -2.59587        10         0                 0                 0                 0
  -2.07989        10         0                 0                 0                 0
  -1.29159        10         0                 0                 0                 0
   -0.5368        10         0                 0                 0                 0
         0        10         0                 0                 0                 0
    0.5368        10         0                 0                 0                 0
   1.29159        10         0                 0                 0                 0
   2.07989        10         0                 0                 0                 0
   2.59587        10         0                 0                 0                 0
   3.21504        10         0                 0                 0                 0
   3.95805        10         0                 0                 0                 0
   4.84966        10         0                 0                 0                 0
   5.91959        10         0                 0                 0                 0
   7.20351        10         0                 0                 0                 0
   8.74421        10         0                 0                 0                 0
        10        10         0                 0                 0                 0
       -10       -10         2                 0                 0                 0
  -8.74421       -10         2                 0                 0                 0
  -7.20351       -10         2                 0                 0                 0
  -5.91959       -10         2                 0                 0                 0
  -4.84966       -10         2                 0                 0                 0
  -3.95805       -10         2                 0                 0                 0
  -3.21504       -10         2                 0                 0                 0
  -2.59587       -10         2                 0                 0                 0
  -2.07989       -10         2                 0                 0                 0
  -1.29159       -10         2                 0                 0                 0
   -0.5368       -10         2                 0                 0                 0
         0       -10         2                 0                 0                 0
    0.5368       -10         2                 0                 0                 0
   1.29159       -10         2                 0                 0                 0
   2.07989       -10         2                 0                 0                 0
   2.59587       -10         2                 0                 0                 0
   3.21504       -10         2                 0                 0                 0
   3.95805       -10         2                 0                 0                 0
   4.84966       -10         2                 0                 0                 0
   5.91959       -10         2                 0                 0                 0
   7.20351       -10         2                 0                 0                 0
   8.74421       -10         2                 0                 0                 0
        10       -10         2                 0                 0                 0
         0      -9.5         2                 0          -2.59241          -2.59241
         0        -5         2                 0          -2.32371          -2.32371
         0        -2         2                 0           1.16566           1.16566
       -10         0         2                 0                 0                 0
  -7.20351         0         2                 0          -4.01253          -4.01253
  -4.84966         0         2                 0          -1.92985          -1.92985
  -2.07989         0         2                 0          0.885548          0.885548
         0         0         2                 0           2.92482           2.92482
   2.07989         0         2                 0           4.97267           4.97267
   4.84966         0         2                 0           7.71593           7.71593
   7.20351         0         2                 0           10.8019           10.8019
        10         0         2                 0                 0                 0
         0         2         2                 0           4.82315           4.82315
         0         5         2                 0           9.21139           9.21139
         0       9.5         2                 0           5.57963           5.57963
       -10        10         2                 0                 0                 0
  -8.74421        10         2                 0                 0                 0
  -7.20351        10         2                 0                 0                 0
  -5.91959        10         2                 0                 0                 0
  -4.84966        10         2                 0                 0                 0
  -3.95805        10         2                 0                 0                 0
  -3.21504        10         2                 0                 0                 0
  -2.59587        10         2                 0                 0                 0
  -2.07989        10         2                 0                 0                 0
  -1.29159        10         2                 0                 0                 0
   -0.5368        10         2                 0                 0                 0
         0        10         2                 0                 0                 0
    0.5368        10         2                 0                 0                 0
   1.29159        10         2                 0                 0                 0
   2.07989        10         2                 0                 0                 0
   2.59587        10         2                 0                 0                 0
   3.21504        10         2                 0                 0                 0
   3.95805        10         2                 0                 0                 0
   4.84966        10         2                 0                 0                 0
   5.91959        10         2                 0                 0                 0
   7.20351        10         2                 0                 0                 0
   8.74421        10         2                 0                 0                 0
        10        10         2                 0                 0                 0
       -10       -10         5                 0                 0                 0
  -8.74421       -10         5                 0                 0                 0
  -7.20351       -10         5                 0                 0                 0
  -5.91959       -10         5                 0                 0                 0
  -4.84966       -10         5                 0                 0                 0
  -3.95805       -10         5                 0                 0                 0
  -3.21504       -10         5                 0                 0                 0
  -2.59587       -10         5                 0                 0                 0
  -2.07989       -10         5                 0                 0                 0
  -1.29159       -10         5                 0                 0                 0
   -0.5368       -10         5                 0                 0                 0
         0       -10         5                 0                 0                 0
    0.5368       -10         5                 0                 0                 0
   1.29159       -10         5                 0                 0                 0
   2.07989       -10         5                 0                 0                 0
   2.59587       -10         5                 0                 0                 0
   3.21504       -10         5                 0                 0                 0
   3.95805       -10         5                 0                 0                 0
   4.84966       -10         5                 0                 0                 0
   5.91959       -10         5                 0                 0                 0
   7.20351       -10         5                 0                 0                 0
   8.74421       -10         5                 0                 0                 0
        10       -10         5                 0                 0                 0
       -10      -9.5         5                 0                 0                 0
         0      -9.5         5                 0          -2.04083          -2.04083
        10      -9.5         5                 0                 0                 0
       -10        -5         5                 0                 0                 0
         0        -5         5                 0           1.77903           1.77903
        10        -5         5                 0                 0                 0
         0        -2         5                 0           4.43855           4.43855
       -10         0         5                 0                 0                 0
  -7.20351         0         5                 0           -3.1047           -3.1047
  -4.84966         0         5                 0           1.87721           1.87721
  -2.07989         0         5                 0           4.64444           4.64444
         0         0         5                 0           6.92299           6.92299
   2.07989         0         5                 0           9.24613           9.24613
   4.84966         0         5                 0           11.7779           11.7779
   7.20351         0         5                 0           21.1719           21.1719
        10         0         5                 0                 0                 0
         0         2         5                 0           9.21114           9.21114
       -10         5         5                 0                 0                 0
         0         5         5                 0           20.9973           20.9973
        10         5         5                 0                 0                 0
       -10       9.5         5                 0                 0                 0
         0       9.5         5                 0           12.2373           12.2373
        10       9.5         5                 0                 0                 0
       -10        10         5                 0                 0                 0
  -8.74421        10         5                 0                 0                 0
  -7.20351        10         5                 0                 0                 0
  -5.91959        10         5                 0                 0                 0
  -4.84966        10         5                 0                 0                 0
  -3.95805        10         5                 0                 0                 0
  -3.21504        10         5                 0                 0                 0
  -2.59587        10         5                 0                 0                 0
  -2.07989        10         5                 0                 0                 0
  -1.29159        10         5                 0                 0                 0
   -0.5368        10         5                 0                 0                 0
         0        10         5                 0                 0                 0
    0.5368        10         5                 0                 0                 0
   1.29159        10         5                 0                 0                 0
   2.07989        10         5                 0                 0                 0
   2.59587        10         5                 0                 0                 0
   3.21504        10         5                 0                 0                 0
   3.95805        10         5                 0                 0                 0
   4.84966        10         5                 0                 0                 0
   5.91959        10         5                 0                 0                 0
   7.20351        10         5                 0                 0                 0
   8.74421        10         5                 0                 0                 0
        10        10         5                 0                 0                 0
       -10       -10       9.5                 0                 0                 0
  -8.74421       -10       9.5                 0                 0                 0
  -7.20351       -10       9.5                 0                 0                 0
  -5.91959       -10       9.5                 0                 0                 0
  -4.84966       -10       9.5                 0                 0                 0
  -3.95805       -10       9.5                 0                 0                 0
